subject,prime_type,rating,influenced,self_exclusion_1,complete_data
347524095,prime_type_A,1,0,"Yes, use my data",TRUE
347524095,prime_type_A,1,0,"Yes, use my data",TRUE
347524095,prime_type_A,0,0,"Yes, use my data",TRUE
347524095,prime_type_A,1,0,"Yes, use my data",TRUE
347524095,prime_type_B,0,1,"Yes, use my data",TRUE
347524095,prime_type_A,1,1,"Yes, use my data",TRUE
347524095,prime_type_B,0,0,"Yes, use my data",TRUE
347524095,prime_type_A,1,0,"Yes, use my data",TRUE
347524095,prime_type_B,1,0,"Yes, use my data",TRUE
347524095,prime_type_A,1,1,"Yes, use my data",TRUE
347524095,prime_type_A,0,0,"Yes, use my data",TRUE
347524095,prime_type_A,0,0,"Yes, use my data",TRUE
347524095,prime_type_A,0,0,"Yes, use my data",TRUE
347524095,prime_type_B,1,0,"Yes, use my data",TRUE
347524095,prime_type_A,0,1,"Yes, use my data",TRUE
347524095,prime_type_B,0,0,"Yes, use my data",TRUE
347524095,prime_type_B,0,1,"Yes, use my data",TRUE
347524095,prime_type_B,0,0,"Yes, use my data",TRUE
347524095,prime_type_A,1,1,"Yes, use my data",TRUE
347524095,prime_type_B,0,0,"Yes, use my data",TRUE
347524095,prime_type_B,0,0,"Yes, use my data",TRUE
347524095,prime_type_B,0,1,"Yes, use my data",TRUE
347524095,prime_type_A,1,0,"Yes, use my data",TRUE
347524095,prime_type_B,0,0,"Yes, use my data",TRUE
347524095,prime_type_A,1,0,"Yes, use my data",TRUE
347524095,prime_type_B,0,1,"Yes, use my data",TRUE
347524095,prime_type_B,1,0,"Yes, use my data",TRUE
347524095,prime_type_A,1,0,"Yes, use my data",TRUE
347524095,prime_type_A,1,0,"Yes, use my data",TRUE
347524095,prime_type_A,0,0,"Yes, use my data",TRUE
347524095,prime_type_B,1,0,"Yes, use my data",TRUE
347524095,prime_type_B,0,0,"Yes, use my data",TRUE
347524095,prime_type_A,1,1,"Yes, use my data",TRUE
347524095,prime_type_B,0,1,"Yes, use my data",TRUE
347524095,prime_type_A,1,0,"Yes, use my data",TRUE
347524095,prime_type_B,0,0,"Yes, use my data",TRUE
347524095,prime_type_B,1,0,"Yes, use my data",TRUE
347524095,prime_type_B,1,0,"Yes, use my data",TRUE
347524095,prime_type_A,1,1,"Yes, use my data",TRUE
347524095,prime_type_B,1,0,"Yes, use my data",TRUE
347524095,prime_type_A,1,0,"Yes, use my data",TRUE
347524095,prime_type_B,1,0,"Yes, use my data",TRUE
347524095,prime_type_B,0,1,"Yes, use my data",TRUE
347524095,prime_type_A,1,0,"Yes, use my data",TRUE
347524095,prime_type_A,1,1,"Yes, use my data",TRUE
347524095,prime_type_B,1,0,"Yes, use my data",TRUE
347524095,prime_type_A,0,0,"Yes, use my data",TRUE
347524095,prime_type_B,0,1,"Yes, use my data",TRUE
347524095,prime_type_A,1,0,"Yes, use my data",TRUE
347524095,prime_type_B,1,0,"Yes, use my data",TRUE
347524095,prime_type_B,0,1,"Yes, use my data",TRUE
347524095,prime_type_B,1,0,"Yes, use my data",TRUE
347524095,prime_type_A,1,0,"Yes, use my data",TRUE
347524095,prime_type_A,1,0,"Yes, use my data",TRUE
347524095,prime_type_B,0,1,"Yes, use my data",TRUE
347524095,prime_type_A,1,0,"Yes, use my data",TRUE
347524095,prime_type_A,0,0,"Yes, use my data",TRUE
347524095,prime_type_B,1,0,"Yes, use my data",TRUE
