subject,prime_type,rating,self_exclusion_1,complete_data
347524095,prime_type_B,0,"Yes, use my data",TRUE
347524095,prime_type_A,0,"Yes, use my data",TRUE
347524095,prime_type_B,0,"Yes, use my data",TRUE
347524095,prime_type_B,0,"Yes, use my data",TRUE
347524095,prime_type_A,1,"Yes, use my data",TRUE
347524095,prime_type_A,1,"Yes, use my data",TRUE
347524095,prime_type_A,0,"Yes, use my data",TRUE
347524095,prime_type_B,1,"Yes, use my data",TRUE
347524095,prime_type_A,0,"Yes, use my data",TRUE
347524095,prime_type_A,0,"Yes, use my data",TRUE
347524095,prime_type_B,0,"Yes, use my data",TRUE
347524095,prime_type_A,1,"Yes, use my data",TRUE
347524095,prime_type_A,0,"Yes, use my data",TRUE
347524095,prime_type_B,0,"Yes, use my data",TRUE
347524095,prime_type_B,0,"Yes, use my data",TRUE
347524095,prime_type_B,0,"Yes, use my data",TRUE
347524095,prime_type_B,1,"Yes, use my data",TRUE
347524095,prime_type_A,1,"Yes, use my data",TRUE
347524095,prime_type_B,0,"Yes, use my data",TRUE
347524095,prime_type_A,0,"Yes, use my data",TRUE
347524095,prime_type_B,0,"Yes, use my data",TRUE
347524095,prime_type_A,1,"Yes, use my data",TRUE
347524095,prime_type_A,1,"Yes, use my data",TRUE
347524095,prime_type_B,0,"Yes, use my data",TRUE
347524095,prime_type_A,0,"Yes, use my data",TRUE
347524095,prime_type_B,0,"Yes, use my data",TRUE
347524095,prime_type_A,1,"Yes, use my data",TRUE
347524095,prime_type_B,0,"Yes, use my data",TRUE
347524095,prime_type_B,0,"Yes, use my data",TRUE
347524095,prime_type_A,1,"Yes, use my data",TRUE
347524095,prime_type_B,0,"Yes, use my data",TRUE
347524095,prime_type_B,1,"Yes, use my data",TRUE
347524095,prime_type_B,0,"Yes, use my data",TRUE
347524095,prime_type_B,0,"Yes, use my data",TRUE
347524095,prime_type_B,1,"Yes, use my data",TRUE
347524095,prime_type_A,1,"Yes, use my data",TRUE
347524095,prime_type_A,0,"Yes, use my data",TRUE
347524095,prime_type_B,0,"Yes, use my data",TRUE
347524095,prime_type_B,0,"Yes, use my data",TRUE
347524095,prime_type_B,1,"Yes, use my data",TRUE
347524095,prime_type_A,1,"Yes, use my data",TRUE
347524095,prime_type_A,0,"Yes, use my data",TRUE
347524095,prime_type_A,0,"Yes, use my data",TRUE
347524095,prime_type_A,1,"Yes, use my data",TRUE
347524095,prime_type_B,0,"Yes, use my data",TRUE
347524095,prime_type_B,1,"Yes, use my data",TRUE
347524095,prime_type_A,0,"Yes, use my data",TRUE
347524095,prime_type_A,1,"Yes, use my data",TRUE
347524095,prime_type_B,0,"Yes, use my data",TRUE
347524095,prime_type_B,0,"Yes, use my data",TRUE
347524095,prime_type_A,1,"Yes, use my data",TRUE
347524095,prime_type_B,0,"Yes, use my data",TRUE
