subject,age,gender,AMP_effect_positive_negative,IA_AMP_effect_positive_negative,IA_AMP_uninfluenced_effect_positive_negative,influence_rate,awareness,influence_general,intentionality,self_exclusion_1,self_exclusion_1other,unintentionality,complete_data
3545965,63,female,0.69,0.89,NA,1,6,6,4,"Yes, use my data",,6,TRUE
4760432,18,female,0.25,0.28,0.71,0.85,7,6,6,"Yes, use my data",,4,TRUE
11515328,33,Male,0.11,0.03,0,0.03,7,2,1,"Yes, use my data",,2,TRUE
21664305,35,female,0.03,0.39,0.17,0.33,7,3,1,"Yes, use my data",,5,TRUE
27172297,51,MALE,0.69,0.58,NA,0.99,7,6,6,"Yes, use my data",,6,TRUE
36970580,52,female,0.39,0.42,0.23,0.61,7,4,3,"Yes, use my data",,3,TRUE
41432451,35,Male,0.89,0.33,-0.43,0.6,4,5,2,"Yes, use my data",,5,TRUE
54389710,30,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
69320430,23,Female,0.03,0.39,-0.04,0.5,7,4,1,"Yes, use my data",,5,TRUE
75924109,30,female,0.83,0.78,NA,0.96,7,7,2,"Yes, use my data",,7,TRUE
83854743,18,female,0.58,0.5,NA,0.99,6,7,5,"Yes, use my data",,7,TRUE
96935104,21,Male,0.44,0.86,0.86,0.42,7,4,3,"Yes, use my data",,3,TRUE
97904951,20,Male,-0.11,0.5,NA,0.99,7,6,4,"Yes, use my data",,4,TRUE
101262426,24,male,0.64,0.83,0.5,0.93,7,6,6,"Yes, use my data",,7,TRUE
129296219,46,female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
130397844,25,female,0.06,0.28,NA,1,4,5,5,"Yes, use my data",,3,TRUE
131526138,45,female,0.64,0.67,NA,1,7,7,7,"Yes, use my data",,1,TRUE
136022943,63,female,0.42,0.75,0.21,0.72,7,6,4,"Yes, use my data",,5,TRUE
139843245,31,female,0.19,0.25,0.25,0,7,2,1,"Yes, use my data",,2,TRUE
142189929,27,female,-0.11,-0.06,-0.13,0.14,7,3,2,"Yes, use my data",,2,TRUE
152762024,29,F,-0.03,0.17,0.03,0.12,7,2,1,"Yes, use my data",,2,TRUE
167375011,42,female,0.08,0,0,0,7,1,1,"Yes, use my data",,2,TRUE
168637346,25,male,0,-0.64,-0.63,0.01,6,2,2,"Yes, use my data",,3,TRUE
179416344,18,male,0.14,0.22,-0.06,0.25,7,3,3,"Yes, use my data",,5,TRUE
180201925,45,female,0.03,0.03,0.03,0,7,1,1,"Yes, use my data",,2,TRUE
181289079,60,female,-0.08,-0.03,-0.08,0.04,7,2,2,"Yes, use my data",,1,TRUE
184299191,26,male,0.11,0.17,0.15,0.03,7,3,1,"Yes, use my data",,2,TRUE
